,BAC,BAC,BAC,BAC,BAC,BAC,BAC,C,C,C,C,C,C,C,GS,GS,GS,GS,GS,GS,GS,MS,MS,MS,MS,MS,MS,MS,JPM,JPM,JPM,JPM,JPM,JPM,JPM,WFC,WFC,WFC,WFC,WFC,WFC,WFC
,Date,Open,High,Low,Close,Adj Close,Volume,Date,Open,High,Low,Close,Adj Close,Volume,Date,Open,High,Low,Close,Adj Close,Volume,Date,Open,High,Low,Close,Adj Close,Volume,Date,Open,High,Low,Close,Adj Close,Volume,Date,Open,High,Low,Close,Adj Close,Volume
0,2006-01-03,46.92,47.18,46.15,47.08,31.75,16296700,2006-01-03,490.0,493.8,481.1,492.9,329.15,1537600,2006-01-03,126.7,129.44,124.23,128.87,96.81,6188700,2006-01-03,57.17,58.49,56.74,58.31,32.66,5377000,2006-01-03,39.83,40.36,39.3,40.19,24.52,12838600,2006-01-03,31.6,31.98,31.19,31.9,18.98,11016400
1,2006-01-04,47.0,47.24,46.45,46.58,31.41,17757900,2006-01-04,488.6,491.0,483.5,483.8,323.07,1870960,2006-01-04,127.35,128.91,126.38,127.09,95.47,4861600,2006-01-04,58.7,59.28,58.35,58.35,32.68,7977800,2006-01-04,39.78,40.14,39.42,39.62,24.37,13491500,2006-01-04,31.8,31.82,31.36,31.53,18.76,10870000
2,2006-01-05,46.58,46.83,46.32,46.64,31.45,14970700,2006-01-05,484.4,487.8,484.0,486.2,324.68,1143160,2006-01-05,126.0,127.32,125.61,127.04,95.43,3717400,2006-01-05,58.55,58.59,58.02,58.51,32.77,5778000,2006-01-05,39.61,39.81,39.5,39.74,24.45,8109400,2006-01-05,31.5,31.56,31.31,31.5,18.74,10158000
3,2006-01-06,46.8,46.91,46.35,46.57,31.41,12599800,2006-01-06,488.8,489.0,482.0,486.2,324.68,1370210,2006-01-06,127.29,129.25,127.29,128.84,96.79,4319600,2006-01-06,58.77,58.85,58.05,58.57,32.81,6889800,2006-01-06,39.92,40.24,39.55,40.02,24.62,7966900,2006-01-06,31.58,31.77,31.39,31.68,18.85,8403800
4,2006-01-09,46.72,46.97,46.36,46.6,31.43,15619400,2006-01-09,486.0,487.4,483.0,483.9,323.14,1680740,2006-01-09,128.5,130.62,128.0,130.39,97.95,4723500,2006-01-09,58.63,59.29,58.62,59.19,33.15,4144500,2006-01-09,39.88,40.72,39.88,40.67,25.02,16575200,2006-01-09,31.67,31.83,31.56,31.67,18.85,5619600
5,2006-01-10,46.4,46.51,45.88,46.21,31.16,15634600,2006-01-10,483.0,485.5,480.8,485.4,324.14,1365890,2006-01-10,130.05,132.95,130.02,132.03,99.18,5536800,2006-01-10,58.85,59.22,58.58,59.22,33.17,4713600,2006-01-10,40.5,40.75,40.07,40.73,25.06,16614800,2006-01-10,31.55,31.68,31.44,31.65,18.83,7157800
6,2006-01-11,46.06,46.25,45.75,46.1,31.09,14742100,2006-01-11,495.8,495.8,485.8,489.8,327.08,1684340,2006-01-11,131.45,133.8,131.42,131.97,99.14,4671400,2006-01-11,59.15,59.88,58.84,59.57,33.52,5837900,2006-01-11,40.73,40.87,40.61,40.7,25.04,12332300,2006-01-11,31.65,31.9,31.58,31.82,18.93,8047000
7,2006-01-12,46.22,46.23,45.71,45.8,30.89,10546600,2006-01-12,491.0,491.0,488.8,490.3,327.41,1230010,2006-01-12,131.4,133.21,131.38,132.25,99.35,3725500,2006-01-12,59.63,59.78,59.27,59.47,33.46,3817700,2006-01-12,40.25,40.42,39.9,39.95,24.58,12230000,2006-01-12,31.7,31.79,31.43,31.44,18.71,10763600
8,2006-01-13,45.83,46.0,45.68,45.8,30.89,10791000,2006-01-13,491.0,491.9,487.3,489.2,326.68,940880,2006-01-13,132.02,133.66,131.9,133.26,100.11,2894900,2006-01-13,59.57,59.67,59.06,59.38,33.41,3430900,2006-01-13,39.78,40.03,39.65,39.92,24.56,10961200,2006-01-13,31.55,31.8,31.51,31.62,18.82,6365600
9,2006-01-17,45.4,45.58,45.0,45.31,30.56,14605900,2006-01-17,485.1,487.0,482.7,484.3,323.41,1237740,2006-01-17,131.0,133.13,130.59,132.59,99.6,3621600,2006-01-17,59.45,59.46,58.68,58.81,33.09,2624700,2006-01-17,39.48,39.82,39.41,39.71,24.43,9941100,2006-01-17,31.46,31.58,31.2,31.3,18.62,10690400
10,2006-01-18,45.32,45.65,44.92,45.26,30.52,10867000,2006-01-18,484.3,486.7,481.1,483.6,322.94,1215070,2006-01-18,131.06,132.68,131.01,132.37,99.44,4302700,2006-01-18,58.55,58.9,58.05,58.45,32.89,2903000,2006-01-18,39.11,39.71,38.95,39.28,24.17,17813100,2006-01-18,31.31,31.84,31.3,31.8,18.92,10780800
11,2006-01-19,45.88,45.88,44.85,45.14,30.44,14584000,2006-01-19,485.6,485.8,477.0,479.4,320.13,1696500,2006-01-19,132.72,134.82,132.71,133.82,100.53,5010700,2006-01-19,58.75,59.98,58.71,59.35,33.4,3813000,2006-01-19,39.34,39.47,38.8,39.06,24.03,12091800,2006-01-19,31.81,31.82,31.27,31.31,18.63,8713400
12,2006-01-20,45.0,45.15,44.17,44.19,29.8,24950800,2006-01-20,472.1,474.0,456.3,456.9,305.11,4777680,2006-01-20,132.85,134.06,131.25,131.44,98.92,5679900,2006-01-20,59.3,59.55,57.41,57.85,32.55,5445900,2006-01-20,38.81,38.82,37.88,38.05,23.41,20902400,2006-01-20,31.31,31.31,30.75,30.75,18.3,18166000
13,2006-01-23,43.5,44.39,43.49,43.96,29.65,23459500,2006-01-23,460.0,463.8,457.0,460.0,307.18,2024410,2006-01-23,131.64,134.18,131.64,132.87,100.0,3847900,2006-01-23,57.7,58.69,57.7,58.48,32.91,3767000,2006-01-23,38.14,38.7,37.97,38.27,23.54,13172300,2006-01-23,30.75,30.97,30.75,30.81,18.33,7047400
14,2006-01-24,44.08,44.68,44.04,44.24,29.84,13500300,2006-01-24,462.9,463.6,459.9,460.1,307.25,2083740,2006-01-24,132.63,134.09,132.34,133.0,100.1,3758000,2006-01-24,58.82,59.45,58.62,58.69,33.02,3813600,2006-01-24,38.27,38.53,38.09,38.11,23.45,9781500,2006-01-24,30.83,30.98,30.66,30.8,18.32,8232000
15,2006-01-25,44.15,44.65,44.15,44.63,30.1,15132000,2006-01-25,461.4,463.7,460.1,462.3,308.72,1591940,2006-01-25,133.65,134.04,132.46,133.56,100.52,3740500,2006-01-25,59.0,59.42,58.55,59.17,33.29,4011700,2006-01-25,38.16,38.68,38.06,38.48,23.67,14248700,2006-01-25,30.83,31.07,30.73,31.0,18.44,8580800
16,2006-01-26,45.0,45.16,44.67,44.9,30.28,18449100,2006-01-26,465.5,475.5,464.5,470.1,313.92,1988560,2006-01-26,133.01,138.36,133.01,137.4,103.41,4808200,2006-01-26,60.49,60.5,59.49,59.97,33.74,5790400,2006-01-26,38.71,39.81,38.71,39.59,24.36,16187900,2006-01-26,31.24,31.5,31.18,31.28,18.61,8598000
